country	stage	date	iata_season	fw_gen	fw_route	fw_airline	text	cities_ua	cities_foreign	nua_cities	nforeign_cities	isfull	comments	airlines_total	airlines_route	encities_ua	encities_foreign	encountry
Саудівська Аравія	проект		всі	999	7	999	7 рейсів на кожному маршруті (пасажирські або комбіновані пасажирські/вантажні рейси), за виключенням аеропорту Даммам (без обмежень)	всі	всі	999	999	1		999	999	all	all	Saudi Arabia
Саудівська Аравія	проект		всі	999	999	999	7 рейсів на кожному маршруті (пасажирські або комбіновані пасажирські/вантажні рейси), за виключенням аеропорту Даммам (без обмежень)	всі	Даммам	999	1	1		999	999	all	Dammam	Saudi Arabia
Сирія	чинна	02.02.1999	всі	999	999	999	без обмежень	всі	Дамаск|Алеппо	999	2	0		999	999	all	Damascus|Aleppo	Syria
Сінгапур	проект		всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Singapore
Словаччина	чинна	28.01.1995	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Slovakia
Словенія	чинна	14.06.2001	всі	999	999	999	без обмежень	Київ	Любляна	1	1	0		999	999	Kiev	Ljubljana	Slovenia
США	підписана	14.07.2015	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	United States
Таджикістан	чинна	07.12.2009	всі	4	2	4	2 рейси на тиждень за кожним маршрутом	Київ|Львів	Душанбе	2	1	0		1	1	Kiev|Lviv	Dushanbe	Tajikistan
Таїланд	чинна	17.04.2007	всі	21	21	21	21 рейс сукупно на країну будь-яким типом ПС	всі	всі	999	999	0		999	999	all	all	Thailand
Туніс	чинна	25.08.1994	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Tunisia
Туреччина	чинна	31.10.2013	всі	16	16	16		Київ	Стамбул	1	1	1		999	999	Kiev	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	14	14	14		Одеса	Стамбул	1	1	1		999	999	Odessa	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	15	15	15		Львів	Стамбул	1	1	1		999	999	Lviv	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	10	10	10		Херсон	Стамбул	1	1	1		999	999	Kherson	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	14	14	14		Запоріжжя	Стамбул	1	1	1		999	999	Zaporizhia	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	14	14	14		Харків	Стамбул	1	1	1		999	999	Kharkiv	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	10	10	10		Вінниця	Стамбул	1	1	1		999	999	Vinnytsia	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	999	999	999		Донецьк|Сімферополь	Стамбул	2	1	1		999	999	Donetsk|Simferopol	Istanbul	Turkey
Туреччина	чинна	31.10.2013	всі	999	999	999		Київ	Анкара	1	1	1		999	999	Kiev	Ankara	Turkey
Туреччина	чинна	31.10.2013	всі	7	7	7		всі	всі	999	999	0		999	999	all	all	Turkey
Туркменістан	чинна	25.02.1993	всі	999	3	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Turkmenistan
Угорщина	чинна	09.11.1995	всі	18	9	18	Пасажирські перевезення Київ-Будапешт, Одеса-Будапешт: 9 рейсів на тиждень для кожної сторони.	Київ|Одеса	Будапешт	2	1	1		999	999	Kiev|Odessa	Budapest	Hungary
Угорщина	чинна	09.11.1995	всі	999	999	999	Інші маршрути: необмежена кількість рейсів	всі	всі	999	999	0		999	999	all	all	Hungary
Узбекістан	чинна	20.02.1993	всі	999	999	999	Київ-Ташкент – частота встановлюється за домовленістю між а/к	Київ	Ташкент	1	1	1	частота встановлюється за домовленістю між а/к	999	999	Kiev	Tashkent	Uzbekistan
Узбекістан	чинна	20.02.1993	всі	2	2	2	Одеса-Ташкент – 2	Одеса	Ташкент	1	1	1		999	999	Odessa	Tashkent	Uzbekistan
Узбекістан	чинна	20.02.1993	всі	3	3	3	Сімферополь – Ташкент – 3	Сімферополь	Ташкент	1	1	1		999	999	Simferopol	Tashkent	Uzbekistan
Фінляндія	чинна	01.03.1996	всі	999	999	999	без обмежень	Київ	HEL|ENF|IVL|KEM|KTT|RVN	1	6	0		999	1	Kiev	Helsinki|Enontekio|Ivalo|Kemi|Kittila|Rovaniemi	Finland
Франція	чинна	23.01.1995	всі	14	14	14	14 Київ-Париж	Київ	Париж	1	1	1		1	1	Kiev	Paris	France
Франція	чинна	23.01.1995	всі	999	7	999	по 7 на інші напрямки	всі	всі	999	999	1		1	1	all	all	France
Хорватія	чинна	09.12.2002	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	1	all	all	Croatia
Чехія	чинна	09.09.1998	всі	10	10	10	Київ – Прага – 10 рейсів на тиждень для авіакомпаній кожної сторони	Київ	Прага	1	1	1		999	999	Kiev	Prague	Czech Republic
Чехія	чинна	09.09.1998	всі	999	4	999	Одеса – Прага 7 рейсів на тиждень сукупно для обох сторін. Інші регіональні – 7 рейсів на тиждень сукупно для обох сторін за кожним окремим маршрутом.	Одеса|Донецьк|Львів|Харків|Сімферополь|Ужгород|Дніпро	Прага	7	1	1	7 рейсів на тиждень сукупно для обох сторін, не паритетно, як в інших угодах	999	999	Odessa|Donetsk|Lviv|Kharkiv|Simferopol|Ужгород|Dnipro	Prague	Czech Republic
Чехія	чинна	09.09.1998	всі	4	4	4	Карлови Вари — Київ	Київ	Карлови Вари	1	1	1	7 рейсів на тиждень сукупно для обох сторін, не паритетно, як в інших угодах	999	999	Kiev	Karlovy Vary	Czech Republic
Чорногорія	чинна	07.12.2011	всі	999	7	999	7 р/т за кожним маршрутом	Київ	Подгориця	1	1	0		999	999	Kiev	Podgorica	Montenegro
Швейцарія	чинна	25.03.1997	всі	19	19	19	19 р/т сукупно на країну	всі	всі	999	3	0		999	999	all	all	Switzerland
Швеція	чинна	27.03.2001	всі	999	999	999	без обмежень	всі	Стокгольм|NA|NA	999	3	0		999	999	all	Stockholm|NA|NA	Sweden
Шрі-Ланка	чинна	18.06.2012	всі	7	7	7	7 р/т між країнами	Київ|Одеса	Коломбо	2	1	0		999	999	Kiev|Odessa	Colombo	Sri Lanka
Сербія	парафована	25.01.1996	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Serbia
